name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
minneapolis,2021-01-18,-5.3,-6.8,-6,-5.5,-13.3,-10.9,-9.8,74.51,0,,0,,0.03,13.17,,18.4,313,1014.8,98.9,15.6,122.7,4.4,3,,2021-01-18T07:45:37,2021-01-18T17:02:04,0.14,Overcast,Cloudy skies throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-19,-6.2,-15.2,-9.8,-10.9,-22.1,-15.8,-13.8,72.63,0.38,,12.5,,0.64,13.81,51.8,25.6,260.1,1023,70.5,13.4,108,3.9,2,,2021-01-19T07:44:55,2021-01-19T17:03:23,0.19,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-20,3.1,-16.8,-5.5,-1.3,-24,-11.6,-10.6,68.37,0,,0,,0.39,14.21,52,27,216,1010.1,24,16,124.8,4.5,2,,2021-01-20T07:44:10,2021-01-20T17:04:44,0.23,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-21,1.3,-12.9,-3.2,-3.5,-21.3,-9.9,-10,59.35,0,,0,,0,14.19,65.3,35.7,290,1009.4,11.6,16,205.1,7.4,4,,2021-01-21T07:43:23,2021-01-21T17:06:05,0.28,Clear,Clear conditions throughout the day.,wind,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-22,-9.6,-17.3,-13.3,-11.3,-25.1,-19.1,-19.3,61.9,0,,0,,0.08,14.18,33.5,20.1,275.2,1025,13,16,244.6,8.8,4,,2021-01-22T07:42:34,2021-01-22T17:07:27,0.33,Clear,Clear conditions throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-23,-6.5,-12.2,-8.7,-12.9,-17.2,-14.6,-12.5,74.15,3.51,,33.33,,4.96,19.15,53.6,19.8,150.5,1023.9,91.6,10.7,74.1,3.2,2,,2021-01-23T07:41:42,2021-01-23T17:08:50,0.37,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-24,-3.2,-8.5,-6.7,-3.3,-13.7,-9.8,-11,72.84,0.85,,12.5,,2.95,22.09,,17.6,238.8,1020.8,53.8,14.1,230,8.3,5,,2021-01-24T07:40:48,2021-01-24T17:10:13,0.41,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-25,-5.7,-12.3,-9.2,-12.2,-18.7,-15.4,-18.2,48.92,0,,0,,0,22.02,37.1,20.4,41.6,1021.8,60.5,16,197.2,8.5,4,,2021-01-25T07:39:53,2021-01-25T17:11:37,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-26,-6.4,-12.3,-9.5,-11,-19.1,-15.4,-16,59.93,0,,0,,0,20.75,29.5,17.4,156.6,1023.8,71.7,15.9,205.4,7.4,4,,2021-01-26T07:38:55,2021-01-26T17:13:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-27,-9.9,-12.7,-11.5,-11.7,-18.3,-15.8,-18.8,54.9,0,,0,,0,19.55,,10.5,89.4,1034.3,94.5,16,141.8,5.1,3,,2021-01-27T07:37:55,2021-01-27T17:14:26,0.49,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-28,-6.1,-12.4,-9.2,-11.3,-17.8,-14.8,-16.3,56.35,0,,0,,0,19.21,,21.3,128.5,1035.6,76,16,168.9,6.7,3,,2021-01-28T07:36:53,2021-01-28T17:15:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-29,-4.1,-8,-6,-10.1,-14.2,-12.1,-10.7,69.88,0,,0,,0,18.59,50,23.8,120.7,1024.6,95.7,15.3,76.9,3,2,,2021-01-29T07:35:49,2021-01-29T17:17:16,0.51,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-30,0.7,-4.1,-1.7,-2.7,-10.9,-6.9,-6.5,69.87,0,,0,,0,18.26,55.4,23.3,93.4,1015.1,93,14.7,56.9,2.3,1,,2021-01-30T07:34:43,2021-01-30T17:18:41,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-31,0.7,-1.6,-0.7,-3.4,-6.5,-5.1,-4.1,78.49,0.13,,4.17,,0,17.58,31.7,19.7,211.1,1022.9,97.9,14.6,118.3,4.7,3,,2021-01-31T07:33:36,2021-01-31T17:20:07,0.54,"Snow, Overcast",Cloudy skies throughout the day with morning rain.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-01,-1.6,-5.5,-3.5,-5.1,-9.1,-7.6,-7.4,74.34,0,,0,,0,17.21,35.3,18.2,298,1028.8,100,15,114.2,4.5,3,,2021-02-01T07:32:26,2021-02-01T17:21:33,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-02,-4.6,-7.6,-5.9,-5.7,-11.8,-8.9,-8.5,81.95,0,,0,,0,17.21,,13.3,104.4,1027,84.4,12.7,76.8,3,1,,2021-02-02T07:31:15,2021-02-02T17:22:59,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-03,1.6,-8,-3.4,-4.4,-13.3,-8.9,-7.1,76.07,0.12,,4.17,,1.17,18.38,54.9,30.3,153.3,1013,37.7,13.8,215,9.3,5,,2021-02-03T07:30:02,2021-02-03T17:24:25,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-04,0.2,-13.4,-5.4,-2.6,-23.5,-12.5,-8.8,76.97,2.7,,45.83,,2.61,20.99,57.5,33.9,282.5,1002.6,72.5,11.1,52.2,3,1,,2021-02-04T07:28:47,2021-02-04T17:25:52,0.74,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-05,-11.8,-15.9,-13.8,-21.7,-25.1,-23.9,-19.1,64.56,0,,0,,1.09,22.08,54.5,34.3,287.7,1006.8,54.8,15.8,241.3,9.6,5,,2021-02-05T07:27:31,2021-02-05T17:27:18,0.8,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-06,-16.5,-23.9,-19.5,-25.5,-34.8,-30.6,-25.4,59.31,0,,0,,0,21.98,52.3,31.7,295.1,1020.7,30.5,15.9,236.5,9.4,5,,2021-02-06T07:26:12,2021-02-06T17:28:44,0.85,Partially cloudy,Partly cloudy throughout the day.,wind,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-07,-19.3,-26.3,-22.5,-24.3,-35.8,-30.8,-28.6,58.34,0.13,,4.17,,0.01,21.93,,16.7,296,1027.8,38,15,231.3,9.2,4,,2021-02-07T07:24:53,2021-02-07T17:30:11,0.9,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-08,-17.8,-24.1,-20.5,-19.1,-31.6,-26.2,-25.5,64.64,0,,0,,0.09,21.96,,13.7,268.1,1029.6,35,15,257.8,10.2,5,,2021-02-08T07:23:31,2021-02-08T17:31:37,0.94,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-09,-13.4,-22,-17.2,-18.5,-28.7,-24.5,-23,62.01,0.25,,8.33,,0,21.96,49.5,26.6,256.8,1029.7,32.7,14.2,262.1,10.4,5,,2021-02-09T07:22:09,2021-02-09T17:33:03,0.97,"Snow, Partially cloudy",Clearing in the afternoon with rain clearing later.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-10,-13.5,-20.6,-17.2,-18.7,-30.2,-23.8,-23.9,56.39,0,,0,,0,21.87,42.5,21,293.2,1032.9,46.2,16,225.6,9.7,5,,2021-02-10T07:20:44,2021-02-10T17:34:29,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-11,-17.9,-23.2,-20.7,-18.5,-31.1,-27.8,-26,62.43,0.14,,4.17,,0.55,22.4,,15.9,277.5,1037.9,68.9,13.2,176.1,7.6,4,,2021-02-11T07:19:19,2021-02-11T17:35:55,1,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-12,-20.1,-25.1,-22.1,-27.5,-35,-31.6,-28.8,55.48,0.13,,4.17,,0.33,22.73,38.9,22.7,319.3,1038,25.8,14.4,303.8,12,5,,2021-02-12T07:17:52,2021-02-12T17:37:21,0,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-13,-19.8,-23.7,-21.4,-21.3,-35.5,-29.1,-28.2,54.03,0,,0,,0.59,22.73,37.1,21.9,319.5,1035.6,44,16,171.7,4.3,4,,2021-02-13T07:16:23,2021-02-13T17:38:47,0.02,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-14,-20.1,-28.4,-24.2,-28.6,-39.9,-34.3,-30.9,54.7,0,,0,,0.38,22.99,30.9,19.6,320.6,1040.5,8.2,16,290.6,12.6,6,,2021-02-14T07:14:53,2021-02-14T17:40:12,0.04,Clear,Clear conditions throughout the day.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-15,-18,-28,-23.1,-21.5,-34.3,-27.5,-30.5,52,0,,0,,0,22.73,,12.7,201.8,1035.9,8,16,286.6,12.4,6,,2021-02-15T07:13:22,2021-02-15T17:41:37,0.07,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-16,-11.6,-25.7,-19.1,-11.6,-30.6,-20.9,-24.7,61.75,0,,0,,0.02,22.75,,8.6,183,1026,22.1,15.9,273.3,11.8,5,,2021-02-16T07:11:50,2021-02-16T17:43:02,0.1,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-17,-12.3,-20.6,-15.7,-17.7,-24.8,-19.9,-19.3,74.16,0.64,,20.83,,1.25,24,,14.2,126,1028.1,86.8,11.3,126.8,5.9,3,,2021-02-17T07:10:17,2021-02-17T17:44:27,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-18,-9,-13.3,-11.5,-11.1,-18.7,-15.2,-15.6,72.01,0.75,,12.5,,0.74,24.74,,12.3,207.6,1029.6,99.5,10.9,177.2,7.7,4,,2021-02-18T07:08:42,2021-02-18T17:45:52,0.19,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-19,-7.5,-16.8,-12.1,-10.6,-17.1,-14,-16.1,73.07,0,,0,,0,24.71,,12.5,247.9,1026.5,34.7,11.3,288.8,12.5,6,,2021-02-19T07:07:06,2021-02-19T17:47:16,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-20,-5.3,-18.9,-11.4,-11.2,-25.4,-16.1,-15.6,72.15,0,,0,,0,23.51,,19.8,145.5,1024.4,24.1,12.4,263.7,12.3,6,,2021-02-20T07:05:29,2021-02-20T17:48:40,0.28,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-21,-2.1,-7,-4.1,-3,-12.2,-7.7,-7,80.08,0.85,,20.83,,1.13,23.13,,15.6,117.8,1015.5,94.7,6.7,90.7,3.9,2,,2021-02-21T07:03:52,2021-02-21T17:50:04,0.33,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-22,4.8,-3.9,0.6,0.8,-8.3,-3.3,-3.5,75.54,0,,0,,0.67,23.81,49.1,21.6,227.9,1002.6,71.3,11.6,211.8,9.1,5,,2021-02-22T07:02:13,2021-02-22T17:51:27,0.38,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-23,4.1,-0.6,2.5,3.2,-4.2,-0.4,-1.7,74.12,0,,0,,0,22.62,38.9,21.2,177.7,1005.5,58.2,16,124.5,5.4,2,,2021-02-23T07:00:33,2021-02-23T17:52:50,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-24,3.2,-2,1.1,-0.4,-6,-3.2,-4.1,69.9,0.19,,8.33,,0,20.13,41,25.6,315.8,1016.5,44,15.1,278.9,14.1,6,,2021-02-24T06:58:52,2021-02-24T17:54:13,0.45,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-02-25,2,-4.2,-1,-2.3,-8.4,-5.1,-5.5,71.82,0,,0,,0,17.88,29.5,18.4,235.7,1025,15.1,15.7,329.6,14.2,6,,2021-02-25T06:57:11,2021-02-25T17:55:36,0.48,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
